LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (38.954501 17.420983 38.839004)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  936 atoms
  reading velocities ...
  936 velocities
  read_data CPU = 0.035 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 10 5 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 11.86 | 11.86 | 11.86 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
       730  -1003.8341     -1003.8341      0.28061997    -1357.6525      25386.291    
       740  -1003.8569     -1003.8569      0.27887094    -1359.6928      25386.333    
       750  -1003.876      -1003.876       0.2774003     -1361.4166      25386.37     
       760  -1003.8933     -1003.8933      0.27606821    -1362.954       25386.402    
       770  -1003.9094     -1003.9094      0.27481426    -1364.3885      25386.432    
       780  -1003.925      -1003.925       0.27360363    -1365.7612      25386.46     
       790  -1003.9403     -1003.9403      0.27241184    -1367.1009      25386.488    
       800  -1003.9555     -1003.9555      0.27121824    -1368.431       25386.515    
       810  -1003.971      -1003.971       0.27000209    -1369.7743      25386.542    
       820  -1003.9871     -1003.9871      0.26873851    -1371.1573      25386.57     
       830  -1004.0041     -1004.0041      0.26739205    -1372.6167      25386.599    
       840  -1004.0229     -1004.0229      0.26590164    -1374.2151      25386.631    
       850  -1004.0452     -1004.0452      0.26413034    -1376.0912      25386.667    
       860  -1004.0777     -1004.0777      0.26152979    -1378.7991      25386.72     
       870  -1004.1438     -1004.1438      0.25577768    -1282.2801      25376.656    
       880  -1004.1694     -1004.1694      0.25369767    -1285.1923      25376.779    
       890  -1004.1886     -1004.1886      0.25213243    -1285.7744      25376.712    
       900  -1004.2053     -1004.2053      0.25076478    -1287.5322      25376.779    
       910  -1004.2206     -1004.2206      0.24950742    -1288.6802      25376.794    
       920  -1004.2351     -1004.2351      0.24831719    -1289.7944      25376.812    
       930  -1004.249      -1004.249       0.24716787    -1290.8586      25376.829    
       940  -1004.2627     -1004.2627      0.24604074    -1291.8919      25376.845    
       950  -1004.2762     -1004.2762      0.24492053    -1292.9087      25376.86     
       960  -1004.2898     -1004.2898      0.24379301    -1293.9219      25376.875    
       970  -1004.3036     -1004.3036      0.2426431     -1294.9446      25376.89     
       980  -1004.3179     -1004.3179      0.24145253    -1295.9919      25376.904    
       990  -1004.3329     -1004.3329      0.24019614    -1297.0846      25376.919    
      1000  -1004.3492     -1004.3492      0.23883397    -1298.2546      25376.934    
      1010  -1004.3676     -1004.3676      0.23729001    -1299.5623      25376.95     
      1020  -1004.3904     -1004.3904      0.23536844    -1301.1622      25376.969    
      1030  -1004.4341     -1004.4341      0.2316751     -1304.1481      25376.999    
      1040  -1005.8307     -1005.8307      0.12458987    -1110.2449      25355.664    
      1050  -1005.8391     -1005.8391      0.12422093    -1099.1608      25354.423    
      1060  -1005.8479     -1005.8479      0.12378401    -1099.0817      25354.266    
      1070  -1005.8568     -1005.8568      0.12334998    -1099.1475      25354.126    
      1080  -1005.8658     -1005.8658      0.12292002    -1099.1683      25353.984    
      1090  -1005.8747     -1005.8747      0.12249355    -1099.1499      25353.84     
