LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (24.636989 17.420983 52.955484)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  936 atoms
  reading velocities ...
  936 velocities
  read_data CPU = 0.047 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 7 5 14
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 12.02 | 12.02 | 12.02 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -1018.4585     -1018.4585      0.30525848    -11989.704      22728.524    
        10  -1018.7927     -1018.7927      0.30235238    -11532.246      22684.387    
        20  -1019.1111     -1019.1111      0.29942033    -11068.849      22640.336    
        30  -1019.4133     -1019.4133      0.29646246    -10599.49       22596.372    
        40  -1019.6993     -1019.6993      0.29347886    -10124.155      22552.499    
        50  -1019.9689     -1019.9689      0.29046976    -9642.8367      22508.719    
        60  -1020.222      -1020.222       0.28953438    -9155.5308      22465.037    
        70  -1020.4584     -1020.4584      0.2898507     -8662.2453      22421.458    
        80  -1020.6779     -1020.6779      0.29017124    -8163.0043      22377.987    
        90  -1020.8804     -1020.8804      0.29049568    -7657.8535      22334.63     
       100  -1021.0657     -1021.0657      0.29082395    -7146.8376      22291.397    
       110  -1021.2338     -1021.2338      0.29115579    -6630.0642      22248.296    
       120  -1021.3845     -1021.3845      0.29149071    -6107.6614      22205.342    
       130  -1021.5177     -1021.5177      0.29182811    -5579.8182      22162.551    
       140  -1021.6333     -1021.6333      0.29216715    -5046.8208      22119.947    
       150  -1021.7312     -1021.7312      0.29250651    -4509.0913      22077.561    
       160  -1021.8113     -1021.8113      0.29284402    -3967.2976      22035.446    
       170  -1021.8737     -1021.8737      0.29317607    -3422.5422      21993.68     
       180  -1021.9185     -1021.9185      0.29349478    -2876.9402      21952.417    
       190  -1021.946      -1021.946       0.29378066    -2335.4468      21912.012    
       200  -1021.9576     -1021.9576      0.29392604    -1819.5895      21874.014    
       210  -1021.9786     -1021.9786      0.29196242    -1762.6205      21869.648    
       220  -1021.9994     -1021.9994      0.2900351     -1765.7948      21869.659    
       230  -1022.0206     -1022.0206      0.28807407    -1769.0285      21869.673    
       240  -1022.0428     -1022.0428      0.28600434    -1772.4106      21869.687    
       250  -1022.0673     -1022.0673      0.28371056    -1776.1219      21869.703    
       260  -1022.097      -1022.097       0.28091222    -1780.5972      21869.722    
       270  -1022.1522     -1022.1522      0.27566277    -1788.8361      21869.759    
       280  -1022.7892     -1022.7892      0.2065846     -1743.2832      21860.587    
       290  -1022.8033     -1022.8033      0.20582129    -1745.0362      21860.596    
       300  -1022.8179     -1022.8179      0.20501812    -1746.8531      21860.606    
       310  -1022.8336     -1022.8336      0.20415283    -1748.7805      21860.616    
       320  -1022.8509     -1022.8509      0.2031858     -1750.8978      21860.627    
       330  -1022.8714     -1022.8714      0.20202756    -1753.4053      21860.642    
       340  -1022.9011     -1022.9011      0.20031227    -1756.4366      21860.619    
       350  -1022.9258     -1022.9258      0.19872677    -1735.4345      21858.889    
       360  -1022.9385     -1022.9385      0.19796843    -1735.8316      21858.815    
       370  -1022.9517     -1022.9517      0.19718416    -1737.4223      21858.826    
       380  -1022.9655     -1022.9655      0.19635578    -1739.0547      21858.835    
       390  -1022.9802     -1022.9802      0.1954604     -1740.7914      21858.846    
       400  -1022.9966     -1022.9966      0.19445661    -1742.7031      21858.857    
       410  -1023.016      -1023.016       0.19325003    -1744.9529      21858.869    
       420  -1023.0443     -1023.0443      0.19146506    -1748.1281      21858.883    
       430  -1023.0891     -1023.0891      0.18837292    -1721.1959      21856.58     
       440  -1023.1004     -1023.1004      0.1876319     -1722.0869      21856.559    
       450  -1023.1119     -1023.1119      0.18686904    -1723.356       21856.566    
       460  -1023.1236     -1023.1236      0.18608359    -1724.6256      21856.571    
       470  -1023.1357     -1023.1357      0.18526524    -1725.9267      21856.577    
       480  -1023.1484     -1023.1484      0.18439941    -1727.2792      21856.582    
       490  -1023.1621     -1023.1621      0.18346346    -1728.7095      21856.588    
       500  -1023.1771     -1023.1771      0.18241775    -1730.2634      21856.592    
       510  -1023.1948     -1023.1948      0.18117522    -1732.0376      21856.595    
       520  -1023.2183     -1023.2183      0.17946956    -1730.0621      21856.286    
       530  -1023.2304     -1023.2304      0.17848024    -1711.4238      21854.841    
       540  -1023.2411     -1023.2411      0.17770497    -1713.3961      21854.91     
       550  -1023.252      -1023.252       0.17690086    -1714.4296      21854.91     
       560  -1023.2633     -1023.2633      0.17606633    -1715.5067      21854.911    
       570  -1023.275      -1023.275       0.17518909    -1716.6143      21854.912    
       580  -1023.2875     -1023.2875      0.17425126    -1717.775       21854.912    
