(written by ASE)

16 atoms
2 atom types

0.0      6.5999999999999996  xlo xhi
0.0      6.5999999999999996  ylo yhi
0.0      6.5999999999999996  zlo zhi

Atoms # atomic

     1   1                       0                       0                       0
     2   2      1.6499999999999999      1.6499999999999999      1.6499999999999999
     3   1                       0                       0      3.2999999999999994
     4   2      1.6499999999999999      1.6499999999999999      4.9499999999999993
     5   1                       0      3.2999999999999994                       0
     6   2      1.6499999999999999      4.9499999999999993      1.6499999999999999
     7   1                       0      3.2999999999999994      3.2999999999999994
     8   2      1.6499999999999999      4.9499999999999993      4.9499999999999993
     9   1      3.2999999999999994                       0                       0
    10   2      4.9499999999999993      1.6499999999999999      1.6499999999999999
    11   1      3.2999999999999994                       0      3.2999999999999994
    12   2      4.9499999999999993      1.6499999999999999      4.9499999999999993
    13   1      3.2999999999999994      3.2999999999999994                       0
    14   2      4.9499999999999993      4.9499999999999993      1.6499999999999999
    15   1      3.2999999999999994      3.2999999999999994      3.2999999999999994
    16   2      4.9499999999999993      4.9499999999999993      4.9499999999999993
