Generated by pymatgen.io.lammps.data.LammpsData

96  atoms

 2  atom types

0.000000 10.185698  xlo xhi
0.000000 5.148809  ylo yhi
0.000000 48.294602  zlo zhi
1.397171 0.000000 0.000000  xy xz yz

Masses

1  24.305
2  65.409

Atoms

1   1  8.362225 3.244278 10.811716
2   1  6.036000 3.875519  8.605564
3   1  3.269377 4.626264 10.132029
4   1  0.943151 2.493532  9.285251
5   2  6.500527 0.985493  9.708640
6   2  2.804850 1.988345 11.747704
7   2  8.348365 1.885203  8.000000
8   2  9.037270 4.423934  8.000000
9   2  9.056631 0.291872 10.067320
10  2  4.652689 0.085784 11.417280
11  2  5.360955 2.695862 11.417279
12  2  3.944423 1.679114  9.349960
13  1  9.759397 0.101172 14.889844
14  1  7.433172 0.732413 12.683692
15  1  4.666549 1.483158 14.210157
16  1  3.737493 4.499236 13.363379
17  2  9.294870 2.991197 13.786768
18  2  5.599192 3.994049 15.825832
19  2 11.142707 3.890907 12.078128
20  2 10.434442 1.280828 12.078129
21  2  1.665276 2.297576 14.145448
22  2  7.447032 2.091488 15.495408
23  2  8.155298 4.701566 15.495408
24  2  6.738766 3.684818 13.428088
25  1  2.368042 2.106876 18.967972
26  1 10.227514 2.738117 16.761820
27  1  7.460891 3.488862 18.288285
28  1  5.134665 1.356130 17.441508
29  2  1.903515 4.996901 17.864896
30  2  6.996364 0.850944 19.903961
31  2  2.354181 0.747801 16.156257
32  2  3.043087 3.286532 16.156257
33  2  4.459619 4.303280 18.223577
34  2 10.241375 4.097192 19.573536
35  2  9.552469 1.558461 19.573536
36  2  8.135937 0.541713 17.506216
37  1  5.162385 4.112580 23.046101
38  1  2.836159 4.743821 20.839949
39  1  8.858063 0.345757 22.366413
40  1  7.929008 3.361834 21.519636
41  2  3.300686 1.853796 21.943025
42  2  9.790706 2.856647 23.982089
43  2  5.148524 2.753505 20.234385
44  2  4.440258 0.143426 20.234385
45  2  5.856790 1.160175 22.301705
46  2  1.452849 0.954086 23.651664
47  2  2.161114 3.564165 23.651664
48  2  0.744582 2.547416 21.584344
49  1  6.559556 0.969474 27.124229
50  1  4.233331 1.600715 24.918077
51  1  1.466708 2.351461 26.444542
52  1  9.326179 0.218729 25.597764
53  2  6.095029 3.859499 26.021153
54  2  2.399351 4.862351 28.060217
55  2  7.942867 4.759209 24.312513
56  2  7.234601 2.149130 24.312513
57  2  8.651133 3.165878 26.379833
58  2  4.247191 2.959790 27.729793
59  2  3.558286 0.421059 27.729792
60  2  3.538925 4.553120 25.662473
61  1  9.353899 2.975178 31.202357
62  1  7.027673 3.606419 28.996205
63  1  4.261050 4.357164 30.522670
64  1  1.934824 2.224433 29.675892
65  2  7.492201 0.716394 30.099281
66  2  3.796523 1.719246 32.138345
67  2  9.340038 1.616103 28.390641
68  2 10.028944 4.154834 28.390642
69  2 10.048305 0.022773 30.457961
70  2  7.041534 4.965494 31.807921
71  2  6.352628 2.426763 31.807921
72  2  4.936096 1.410015 29.740601
73  1  1.962544 4.980882 35.280486
74  1  8.424845 0.463313 33.074333
75  1  5.658222 1.214059 34.600798
76  1  4.729167 4.230136 33.754021
77  2 10.286543 2.722098 34.177409
78  2  6.590866 3.724950 36.216474
79  2  1.948683 3.621807 32.468770
80  2  1.240418 1.011729 32.468770
81  2  2.656950 2.028477 34.536090
82  2  8.438705 1.822388 35.886049
83  2  9.146971 4.432467 35.886049
84  2  7.730439 3.415719 33.818729
85  1  3.359715 1.837776 39.358614
86  1  1.033490 2.469017 37.152462
87  1  8.452565 3.219763 38.678926
88  1  6.126338 1.087031 37.832149
89  2  2.895188 4.727802 38.255538
90  2  7.988037 0.581844 40.294602
91  2  3.345855 0.478701 36.546898
92  2  4.034760 3.017432 36.546898
93  2  5.451292 4.034181 38.614218
94  2  1.047350 3.828092 39.964178
95  2  0.358445 1.289361 39.964177
96  2  9.127611 0.272613 37.896858

