Generated by pymatgen.io.lammps.data.LammpsData

144  atoms

  2  atom types

0.000000 5.335009  xlo xhi
0.000000 8.676757  ylo yhi
0.000000 70.662336  zlo zhi

Masses

1  24.305
2  65.409

Atoms

1    1 2.653503 3.737689  8.759370
2    1 5.321009 4.828311 10.299456
3    1 5.321009 8.076067 10.299456
4    1 2.653503 0.489933  8.759370
5    2 2.653503 4.283000 11.839540
6    2 2.653503 8.621378 11.839540
7    2 4.005737 2.113811 11.058826
8    2 1.301268 2.113811 11.058826
9    2 5.321007 2.113811  8.780711
10   2 3.968775 6.452189  8.000000
11   2 1.338234 6.452189  8.000000
12   2 2.653505 6.452189 10.278115
13   1 5.321008 3.737689 13.379625
14   1 2.653504 4.828311 14.919710
15   1 2.653504 8.076067 14.919710
16   1 5.321008 0.489933 13.379625
17   2 5.321008 4.283000 16.459794
18   2 5.321008 8.621378 16.459794
19   2 1.338232 2.113811 15.679080
20   2 3.968773 2.113811 15.679080
21   2 2.653502 2.113811 13.400965
22   2 1.301270 6.452189 12.620255
23   2 4.005739 6.452189 12.620254
24   2 5.321009 6.452189 14.898370
25   1 2.653503 3.737689 17.999879
26   1 5.321008 4.828311 19.539964
27   1 5.321008 8.076067 19.539964
28   1 2.653503 0.489933 17.999879
29   2 2.653503 4.283000 21.080049
30   2 2.653503 8.621378 21.080049
31   2 4.005736 2.113811 20.299334
32   2 1.301268 2.113811 20.299335
33   2 5.321007 2.113811 18.021219
34   2 3.968775 6.452189 17.240509
35   2 1.338234 6.452189 17.240508
36   2 2.653504 6.452189 19.518624
37   1 5.321007 3.737689 22.620133
38   1 2.653503 4.828311 24.160218
39   1 2.653503 8.076067 24.160218
40   1 5.321007 0.489933 22.620133
41   2 5.321007 4.283000 25.700303
42   2 5.321007 8.621378 25.700303
43   2 1.338231 2.113811 24.919588
44   2 3.968772 2.113811 24.919589
45   2 2.653502 2.113811 22.641473
46   2 1.301270 6.452189 21.860763
47   2 4.005738 6.452189 21.860763
48   2 5.321009 6.452189 24.138878
49   1 2.653502 3.737689 27.240387
50   1 5.321008 4.828311 28.780473
51   1 5.321008 8.076067 28.780473
52   1 2.653502 0.489933 27.240387
53   2 2.653502 4.283000 30.320557
54   2 2.653502 8.621378 30.320557
55   2 4.005736 2.113811 29.539843
56   2 1.301267 2.113811 29.539843
57   2 5.321006 2.113811 27.261728
58   2 3.968774 6.452189 26.481017
59   2 1.338233 6.452189 26.481017
60   2 2.653504 6.452189 28.759132
61   1 5.321007 3.737689 31.860641
62   1 2.653503 4.828311 33.400727
63   1 2.653503 8.076067 33.400727
64   1 5.321007 0.489933 31.860641
65   2 5.321007 4.283000 34.940811
