LAMMPS data file via write_data, version 2 Aug 2023, timestep = 19, units = metal

110 atoms
2 atom types

0 25.96 xlo xhi
0 5.24 ylo yhi
0 13.941506981672648 zlo zhi
0 -3.090757687036107 0 xy xz yz

Masses

1 65.39
2 24.32

Atoms # atomic

81 1 1.0158477797195917 3.938099008044862 3.4162841926426655 0 0 0
82 1 1.0158477797195915 1.3019009919551383 3.4162841926426655 0 0 0
6 2 3.5956256319166853 2.546383042039189e-16 4.4949465465696985 0 0 0
18 2 2.855006222965987 0 1.330543602784442 0 0 0
31 2 1.3323775503547273 2.62 0.6269751500493878 0 0 0
69 1 3.2118470933757655 2.62 2.9394748436995854 0 0 0
73 1 4.289677376644848 2.6200000000000006 0.49559508640399347 0 0 0
11 2 8.016808510282154 2.62 3.524079697909233 0 0 0
39 2 7.3449649064078235 2.62 0.36071521818008956 0 0 0
60 1 7.651410240733945 5.239999999999999 1.9491542729527114 0 -1 0
89 1 5.463746911076152 3.949450529884493 2.436525845762298 0 0 0
90 1 5.463746911076152 1.2905494701155071 2.436525845762298 0 0 0
23 2 11.189510484737992 2.62 3.9765510725745243 0 0 0
35 2 12.476420196141174 2.62 1.2678390959204164 0 0 0
64 1 9.606469988967108 5.239999999999999 3.7349448849620814 0 -1 0
76 1 11.928919087127273 2.499760918475519e-16 2.4722539501468574 0 0 0
99 1 9.87684019433824 3.892602886484314 1.442217268085671 0 0 0
100 1 9.87684019433824 1.3473971135156864 1.442217268085672 0 0 0
8 2 16.575625631916687 2.62 4.4949465465696985 0 0 0
20 2 15.835006222965985 2.62 1.3305436027844415 0 0 0
29 2 14.312377550354727 0 0.6269751500493885 0 0 0
67 1 16.191847093375767 0 2.939474843699586 0 0 0
71 1 17.26967737664485 3.140862372051493e-17 0.49559508640398947 0 0 0
85 1 13.995847779719591 1.3180990080448607 3.4162841926426655 0 0 0
86 1 13.995847779719591 3.921900991955139 3.4162841926426655 0 0 0
9 2 20.996808510282154 0 3.524079697909232 0 0 0
37 2 20.32496490640782 2.598574693617654e-16 0.36071521818009006 0 0 0
62 1 20.631410240733945 2.62 1.9491542729527112 0 0 0
93 1 18.443746911076154 1.3294505298844959 2.4365258457622967 0 0 0
94 1 18.443746911076154 3.910549470115504 2.4365258457622967 0 0 0
21 2 24.16951048473799 1.6869002348516764e-16 3.9765510725745243 0 0 0
33 2 25.456420196141174 4.409200537561795e-17 1.2678390959204169 0 0 0
66 1 22.586469988967107 2.62 3.7349448849620805 0 0 0
78 1 24.908919087127273 2.62 2.4722539501468574 0 0 0
95 1 22.85684019433824 1.272602886484313 1.4422172680856704 0 0 0
96 1 22.85684019433824 3.9673971135156867 1.4422172680856706 0 0 0
27 2 -0.833093323306651 2.62 5.5246935406017 0 0 0
41 1 -1.5453788435180529 2.3313595254430077e-16 6.970753490836321 0 0 0
48 1 0.7674056071815897 4.524680318299343e-17 5.659182879209927 0 0 0
105 1 0.5110094184747337 3.9095355817911264 7.96308781651598 0 0 0
106 1 0.5110094184747336 1.3304644182088734 7.963087816515979 0 0 0
3 2 3.0999804092739054 2.62 9.032771644275176 0 0 0
15 2 2.36305932568284 2.62 5.884469331258001 0 0 0
45 1 4.944621156481945 3.9300000000000015 6.970753490836322 0 0 0
46 1 4.944621156481945 1.3099999999999992 6.970753490836322 0 0 0
52 1 2.720605884525795 3.523527408767168e-16 7.457647082477213 0 0 0
56 1 4.691150791720219 5.229280089735363e-18 9.24302618739267 0 0 0
