LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (26.888543 14.122763 57.698216) with tilt (3.065691 0 0)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  880 atoms
  read_data CPU = 0.043 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 8 4 15
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 11.53 | 11.53 | 11.53 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -1094.4174     -1094.4174      0.7346417     -16533.078      21910.351    
        10  -1094.8285     -1094.8285      0.74092976    -15953.348      21868.593    
        20  -1095.2199     -1095.2199      0.74724149    -15366.391      21826.951    
        30  -1095.5917     -1095.5917      0.75357368    -14772.246      21785.43     
        40  -1095.9436     -1095.9436      0.75992403    -14170.959      21744.035    
        50  -1096.2755     -1096.2755      0.76628803    -13562.602      21702.773    
        60  -1096.5872     -1096.5872      0.77266135    -12947.266      21661.652    
        70  -1096.8785     -1096.8785      0.77903922    -12325.066      21620.683    
        80  -1097.1494     -1097.1494      0.78541521    -11696.162      21579.874    
        90  -1097.3997     -1097.3997      0.7917817     -11060.746      21539.241    
       100  -1097.6293     -1097.6293      0.79813006    -10419.074      21498.797    
       110  -1097.8381     -1097.8381      0.80444867    -9771.4785      21458.563    
       120  -1098.026      -1098.026       0.8107233     -9118.3812      21418.564    
       130  -1098.193      -1098.193       0.81693614    -8460.3488      21378.828    
       140  -1098.3392     -1098.3392      0.82306176    -7798.1461      21339.399    
       150  -1098.4645     -1098.4645      0.82906743    -7132.8248      21300.33     
       160  -1098.5691     -1098.5691      0.83490459    -6465.9079      21261.702    
       170  -1098.6532     -1098.6532      0.84049689    -5799.7126      21223.632    
       180  -1098.7174     -1098.7174      0.8457183     -5138.0646      21186.319    
       190  -1098.7625     -1098.7625      0.8503178     -4488.1496      21150.134    
       200  -1098.7904     -1098.7904      0.85363609    -3867.1522      21115.971    
       210  -1098.811      -1098.811       0.85108424    -3361.0439      21088.352    
       220  -1098.9256     -1098.9256      0.79936174    -3405.3475      21089.711    
       230  -1099.0517     -1099.0517      0.74309883    -3395.1026      21088.038    
       240  -1099.1376     -1099.1376      0.70488697    -3381.5825      21086.564    
       250  -1099.2407     -1099.2407      0.65877112    -3380.3599      21085.629    
       260  -1099.3409     -1099.3409      0.62446564    -3352.7479      21083.321    
       270  -1099.4121     -1099.4121      0.61727893    -3353.7453      21082.813    
       280  -1099.5583     -1099.5583      0.6029457     -3285.9362      21078.049    
       290  -1099.6048     -1099.6048      0.59693315    -3317.4445      21079.419    
       300  -1099.6623     -1099.6623      0.59023287    -3318.4926      21079.075    
       310  -1099.768      -1099.768       0.57754459    -3304.3201      21077.613    
       320  -1099.8168     -1099.8168      0.57176744    -3280.2665      21076.012    
       330  -1099.8565     -1099.8565      0.56658621    -3283.5254      21075.949    
       340  -1099.9165     -1099.9165      0.55864528    -3282.4303      21075.545    
       350  -1100.0117     -1100.0117      0.54729221    -3144.0223      21067.582    
       360  -1100.0383     -1100.0383      0.54349034    -3149.3128      21067.735    
       370  -1100.064      -1100.064       0.53973452    -3155.0152      21067.92     
       380  -1100.0924     -1100.0924      0.53557771    -3159.0827      21068.008    
       390  -1100.1283     -1100.1283      0.53027467    -3161.0789      21067.958    
       400  -1100.1893     -1100.1893      0.52115808    -3158.1812      21067.553    
       410  -1100.5622     -1100.5622      0.46109923    -3074.3047      21062.07     
       420  -1100.5883     -1100.5883      0.45677295    -3054.3225      21060.982    
       430  -1100.608      -1100.608       0.45334999    -3052.7852      21060.892    
       440  -1100.6309     -1100.6309      0.44930006    -3055.1411      21061.016    
       450  -1100.6629     -1100.6629      0.44367113    -3053.3441      21060.924    
       460  -1100.689      -1100.689       0.43927362    -3030.9544      21059.733    
       470  -1100.7068     -1100.7068      0.43613133    -3028.5311      21059.614    
       480  -1100.7266     -1100.7266      0.43256464    -3030.8704      21059.757    
       490  -1100.7516     -1100.7516      0.42804741    -3031.7831      21059.834    
       500  -1100.7836     -1100.7836      0.42237204    -3019.5053      21059.221    
       510  -1100.8006     -1100.8006      0.41946188    -3003.1926      21058.374    
       520  -1100.8174     -1100.8174      0.41638604    -3004.5968      21058.482    
       530  -1100.8364     -1100.8364      0.41288734    -3006.5361      21058.627    
       540  -1100.8604     -1100.8604      0.4084548     -3007.6282      21058.743    
       550  -1100.8884     -1100.8884      0.40346158    -2991.4602      21057.951    
       560  -1100.9039     -1100.9039      0.40070968    -2978.0477      21057.277    
       570  -1100.9193     -1100.9193      0.39782343    -2979.0821      21057.382    
       580  -1100.9362     -1100.9362      0.39465093    -2980.5319      21057.518    
       590  -1100.9561     -1100.9561      0.39089357    -2981.6433      21057.651    
       600  -1100.9819     -1100.9819      0.38606052    -2978.3492      21057.577    
       610  -1100.9998     -1100.9998      0.38292323    -2955.0349      21056.402    
       620  -1101.0139     -1101.0139      0.38025587    -2952.4856      21056.33     
       630  -1101.0286     -1101.0286      0.3774418     -2953.3287      21056.445    
       640  -1101.0446     -1101.0446      0.37438329    -2954.0809      21056.564    
       650  -1101.0629     -1101.0629      0.3708656     -2954.6995      21056.694    
       660  -1101.085      -1101.085       0.36661737    -2951.4325      21056.641    
       670  -1101.1015     -1101.1015      0.36362974    -2930.3354      21055.607    
       680  -1101.1148     -1101.1148      0.36108532    -2925.8781      21055.449    
       690  -1101.1284     -1101.1284      0.35843406    -2926.1563      21055.55     
       700  -1101.1427     -1101.1427      0.3556421     -2926.268       21055.65     
       710  -1101.158      -1101.158       0.35262337    -2926.3189      21055.757    
       720  -1101.1753     -1101.1753      0.34922276    -2926.1168      21055.869    
       730  -1101.1942     -1101.1942      0.34553267    -2919.1725      21055.638    
       740  -1101.2081     -1101.2081      0.34293206    -2901.9333      21054.82     
       750  -1101.2206     -1101.2206      0.34045759    -2898.3434      21054.728    
       760  -1101.2334     -1101.2334      0.33789565    -2897.8712      21054.808    
       770  -1101.2466     -1101.2466      0.33524234    -2897.3954      21054.895    
       780  -1101.2604     -1101.2604      0.33245847    -2896.7875      21054.983    
       790  -1101.275      -1101.275       0.3294863     -2896.0733      21055.077    
       800  -1101.291      -1101.291       0.32624806    -2894.5925      21055.146    
       810  -1101.3063     -1101.3063      0.32319891    -2883.4482      21054.698    
       820  -1101.3185     -1101.3185      0.32078678    -2870.9688      21054.151    
       830  -1101.3305     -1101.3305      0.31832295    -2868.4983      21054.141    
       840  -1101.3427     -1101.3427      0.3158042     -2867.4148      21054.211    
       850  -1101.3551     -1101.3551      0.3132285     -2866.2989      21054.285    
       860  -1101.3677     -1101.3677      0.31057979    -2865.0526      21054.358    
       870  -1101.3808     -1101.3808      0.30783819    -2863.6929      21054.434    
       880  -1101.3943     -1101.3943      0.30497973    -2862.1447      21054.509    
       890  -1101.4085     -1101.4085      0.3019855     -2859.8202      21054.554    
       900  -1101.4221     -1101.4221      0.29914787    -2850.3295      21054.214    
       910  -1101.4337     -1101.4337      0.29673817    -2838.366       21053.721    
       920  -1101.4454     -1101.4454      0.29424014    -2835.0199      21053.693    
       930  -1101.4571     -1101.4571      0.29169903    -2833.3406      21053.759    
       940  -1101.4689     -1101.4689      0.28912452    -2831.4764      21053.82     
       950  -1101.4808     -1101.4808      0.28651045    -2829.5246      21053.882    
       960  -1101.4929     -1101.4929      0.2838517     -2827.4504      21053.943    
