LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (32.683781 10.673142 38.628389)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  440 atoms
  read_data CPU = 0.052 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 9 3 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 10.62 | 10.62 | 10.62 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
       770  -537.78529     -537.78529      0.20354366    -1685.8036      12931.856    
       780  -537.79464     -537.79464      0.20092659    -1679.937       12931.895    
       790  -537.80544     -537.80544      0.19784923    -1672.1233      12931.905    
       800  -537.81474     -537.81474      0.19523093    -1671.8518      12932.187    
       810  -537.82409     -537.82409      0.19245672    -1661.1385      12932.047    
       820  -537.83409     -537.83409      0.18956967    -1660.6359      12932.355    
       830  -537.8424      -537.8424       0.18707419    -1653.9533      12932.36     
       840  -537.85201     -537.85201      0.18415732    -1645.8724      12932.358    
       850  -537.86051     -537.86051      0.1816245     -1646.5916      12932.686    
       860  -537.86866     -537.86866      0.17907345    -1637.7628      12932.615    
       870  -537.87792     -537.87792      0.17621428    -1634.2775      12932.811    
       880  -537.88541     -537.88541      0.17388283    -1631.8313      12932.991    
       890  -537.89347     -537.89347      0.17126038    -1620.8238      12932.845    
       900  -537.90201     -537.90201      0.16859193    -1621.8752      12933.221    
       910  -537.90903     -537.90903      0.16630693    -1615.9029      12933.253    
       920  -537.91686     -537.91686      0.16370889    -1606.5579      12933.185    
       930  -537.92482     -537.92482      0.1611609     -1608.2862      12933.585    
       940  -537.93147     -537.93147      0.15894167    -1602.3879      12933.622    
       950  -537.93885     -537.93885      0.15641491    -1591.4925      12933.489    
       960  -537.94656     -537.94656      0.15389647    -1593.6321      12933.913    
       970  -537.95287     -537.95287      0.15174815    -1588.5074      12933.983    
       980  -537.95967     -537.95967      0.14938505    -1579.5459      12933.921    
       990  -537.96728     -537.96728      0.146788      -1576.1178      12934.131    
      1000  -537.9734      -537.9734       0.14472879    -1577.0785      12934.457    
      1010  -537.97961     -537.97961      0.14251522    -1567.3391      12934.352    
      1020  -537.9866      -537.9866       0.14002845    -1557.8807      12934.302    
      1030  -537.99327     -537.99327      0.13779114    -1563.3008      12934.855    
      1040  -537.99902     -537.99902      0.13574309    -1556.9507      12934.883    
      1050  -538.00512     -538.00512      0.13352406    -1547.1749      12934.792    
      1060  -538.01202     -538.01202      0.1310323     -1538.4055      12934.79     
      1070  -538.01802     -538.01802      0.12901133    -1545.5301      12935.401    
      1080  -538.02359     -538.02359      0.12697585    -1537.7375      12935.381    
      1090  -538.02951     -538.02951      0.12479096    -1527.8749      12935.299    
      1100  -538.03613     -538.03613      0.12236949    -1519.3183      12935.315    
      1110  -538.04182     -538.04182      0.12043893    -1527.2477      12935.965    
      1120  -538.04726     -538.04726      0.11843152    -1519.2389      12935.949    
      1130  -538.05295     -538.05295      0.11630587    -1509.3295      12935.875    
      1140  -538.05922     -538.05922      0.1139765     -1499.5401      12935.847    
      1150  -538.06494     -538.06494      0.11203758    -1508.344       12936.557    
      1160  -538.07028     -538.07028      0.11006063    -1500.9721      12936.584    
      1170  -538.07582     -538.07582      0.10798244    -1490.8227      12936.514    
      1180  -538.08175     -538.08175      0.10576375    -1480.6299      12936.475    
      1190  -538.08761     -538.08761      0.10372995    -1485.473       12937.057    
      1200  -538.09286     -538.09286      0.10184068    -1482.692       12937.29     
      1210  -538.09836     -538.09836      0.099774153   -1471.9689      12937.221    
      1220  -538.10412     -538.10412      0.097622385   -1461.2708      12937.177    
      1230  -538.11022     -538.11022      0.095423284   -1457.1417      12937.436    
      1240  -538.11531     -538.11531      0.093703327   -1463.5393      12938.063    
      1250  -538.12096     -538.12096      0.091595534   -1451.7404      12937.989    
      1260  -538.12679     -538.12679      0.089466784   -1440.2882      12937.951    
      1270  -538.13295     -538.13295      0.08726854    -1432.1335      12938.083    
      1280  -538.13815     -538.13815      0.08555238    -1439.034       12938.77     
      1290  -538.14411     -538.14411      0.083370852   -1427.0376      12938.747    
      1300  -538.15034     -538.15034      0.081079447   -1414.5257      12938.735    
      1310  -538.1564      -538.1564       0.079002022   -1415.3731      12939.271    
      1320  -538.16218     -538.16218      0.077018013   -1410.9117      12939.576    
      1330  -538.16748     -538.16748      0.075482874   -1398.9344      12939.54     
      1340  -538.17413     -538.17413      0.074422532   -1391.5064      12939.822    
      1350  -538.18124     -538.18124      0.073263287   -1386.8243      12940.275    
      1360  -538.18887     -538.18887      0.071972185   -1377.1426      12940.59     
      1370  -538.19743     -538.19743      0.070491167   -1359.9574      12940.711    
      1380  -538.20593     -538.20593      0.068928281   -1356.505       12941.421    
      1390  -538.21562     -538.21562      0.06710312    -1339.5828      12941.735    
      1400  -538.22799     -538.22799      0.064627804   -1323.6055      12942.432    
      1410  -538.24474     -538.24474      0.061093568   -1295.522       12943.248    
      1420  -538.27061     -538.27061      0.055038045   -1252.3664      12944.886    
      1430  -538.30675     -538.30675      0.044953564   -1173.8219      12947.611    
      1440  -538.34379     -538.34379      0.053694232   -923.05197      12946.565    
      1450  -538.34752     -538.34752      0.043380837   -1038.5882      12952.054    
      1460  -538.34914     -538.34914      0.036062102   -1024.3703      12951.704    
      1470  -538.35207     -538.35207      0.03385037    -1027.2814      12952.285    
      1480  -538.35412     -538.35412      0.032547602   -1021.6186      12952.407    
      1490  -538.35725     -538.35725      0.031174242   -1027.2763      12953.223    
      1500  -538.35867     -538.35867      0.030606066   -1018.9417      12953.168    
      1510  -538.36059     -538.36059      0.029883046   -1012.9285      12953.321    
      1520  -538.36223     -538.36223      0.029560098   -1059.029       12955.584    
      1530  -538.36487     -538.36487      0.028200991   -973.45229      12952.668    
      1540  -538.36778     -538.36778      0.027362213   -995.188        12954.271    
      1550  -538.36889     -538.36889      0.027081854   -1004.3134      12954.915    
      1560  -538.37095     -538.37095      0.026638848   -1038.5602      12956.866    
      1570  -538.37298     -538.37298      0.025436075   -931.23982      12953.001    
      1580  -538.37492     -538.37492      0.025077489   -964.63168      12954.899    
      1590  -538.37655     -538.37655      0.024661684   -970.30037      12955.591    
      1600  -538.37872     -538.37872      0.023966343   -950.40262      12955.405    
      1610  -538.38674     -538.38674      0.021673524   -919.21853      12956.567    
      1620  -538.39104     -538.39104      0.020667525   -908.80183      12957.563    
      1630  -538.40706     -538.40706      0.016973632   -861.16406      12961.309    
      1640  -538.40801     -538.40801      0.016783507   -856.22264      12961.481    
      1650  -538.40895     -538.40895      0.016764233   -869.70048      12962.413    
      1660  -538.41113     -538.41113      0.01626959    -842.06009      12962.168    
      1670  -538.41364     -538.41364      0.015679887   -791.0583       12961.121    
      1680  -538.41565     -538.41565      0.015929493   -878.22226      12965.537    
      1690  -538.42463     -538.42463      0.013851299   -714.9367       12962.777    
      1700  -538.42728     -538.42728      0.013940348   -773.40978      12966.35     
      1710  -538.43192     -538.43192      0.013717452   -841.7942       12971.36     
      1720  -538.44669     -538.44669      0.011772843   -729.30216      12974.141    
      1730  -538.45441     -538.45441      0.010664369   -648.65804      12975.07     
      1740  -538.4617      -538.4617       0.010100186   -659.3291       12979.8      
      1750  -538.47848     -538.47848      0.0098082715  -556.29531      12986.616    
      1755  -538.47887     -538.47887      0.013013464   -514.17055      12985.176    
Loop time of 9.25898 on 1 procs for 1755 steps with 440 atoms

99.5% CPU use with 1 MPI tasks x 1 OpenMP threads

Minimization stats:
  Stopping criterion = energy tolerance
  Energy initial, next-to-last, final = 
      -533.74796304445  -538.478868556304   -538.47887296465
  Force two-norm initial, final = 160.74861 0.13365266
  Force max component initial, final = 122.73886 0.058177616
  Final line search alpha, max atom move = 0.0008404888 4.8897635e-05
  Iterations, force evaluations = 1755 1811

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 9.2024     | 9.2024     | 9.2024     |   0.0 | 99.39
Neigh   | 0          | 0          | 0          |   0.0 |  0.00
Comm    | 0.0070034  | 0.0070034  | 0.0070034  |   0.0 |  0.08
Output  | 0.0049463  | 0.0049463  | 0.0049463  |   0.0 |  0.05
Modify  | 0          | 0          | 0          |   0.0 |  0.00
Other   |            | 0.04465    |            |       |  0.48

Nlocal:            440 ave         440 max         440 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:           1188 ave        1188 max        1188 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:          22536 ave       22536 max       22536 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:        45072 ave       45072 max       45072 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 45072
Ave neighs/atom = 102.43636
Neighbor list builds = 0
Dangerous builds = 0
Total wall time: 0:00:09
