LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (52.241956 22.62143 51.148607) with tilt (-13.060489 0 0)
WARNING: Triclinic box skew is large. LAMMPS will run inefficiently. (src/domain.cpp:220)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2208 atoms
  reading velocities ...
  2208 velocities
  read_data CPU = 0.049 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 17 6 13
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 14.58 | 14.58 | 14.58 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
       710  -2814.8818     -2814.8818      0.4443974     -1156.5372      58646.558    
       720  -2814.9221     -2814.9221      0.4420588     -1156.8501      58646.558    
       730  -2814.9668     -2814.9668      0.4394385     -1157.1679      58646.558    
       740  -2815.0193     -2815.0193      0.43631725    -1157.4984      58646.557    
       750  -2815.0876     -2815.0876      0.43215381    -1149.2415      58645.228    
       760  -2815.116      -2815.116       0.43028377    -1118.6894      58640.5      
       770  -2815.1465     -2815.1465      0.42839406    -1118.0454      58640.381    
       780  -2815.1775     -2815.1775      0.42646501    -1118.2638      58640.396    
       790  -2815.2085     -2815.2085      0.42451954    -1118.3695      58640.397    
       800  -2815.2396     -2815.2396      0.42254996    -1118.4576      58640.397    
       810  -2815.2709     -2815.2709      0.42054691    -1118.5315      58640.397    
       820  -2815.3027     -2815.3027      0.41849967    -1118.5907      58640.397    
       830  -2815.3351     -2815.3351      0.41639522    -1118.6348      58640.397    
       840  -2815.3683     -2815.3683      0.41421681    -1118.663       58640.397    
       850  -2815.4027     -2815.4027      0.41194144    -1118.6738      58640.397    
       860  -2815.4387     -2815.4387      0.40953516    -1118.6651      58640.397    
       870  -2815.4771     -2815.4771      0.40694344    -1118.6322      58640.396    
       880  -2815.5192     -2815.5192      0.40406835    -1118.4957      58640.385    
       890  -2815.563      -2815.563       0.40098305    -1103.3297      58638.064    
       900  -2815.589      -2815.589       0.39908266    -1084.2606      58635.139    
       910  -2815.6199     -2815.6199      0.39691005    -1083.3817      58635.019    
       920  -2815.6514     -2815.6514      0.39468139    -1083.4671      58635.05     
       930  -2815.683      -2815.683       0.39242552    -1083.3436      58635.051    
       940  -2815.7149     -2815.7149      0.39013508    -1083.1927      58635.051    
       950  -2815.7471     -2815.7471      0.38779932    -1083.0241      58635.051    
       960  -2815.7798     -2815.7798      0.38540541    -1082.8356      58635.051    
       970  -2815.8132     -2815.8132      0.38293676    -1082.6245      58635.051    
       980  -2815.8477     -2815.8477      0.38037022    -1082.3868      58635.05     
       990  -2815.8836     -2815.8836      0.37767084    -1082.1035      58635.048    
      1000  -2815.9215     -2815.9215      0.3747891     -1081.1307      58634.945    
      1010  -2815.9558     -2815.9558      0.37207441    -1058.6974      58631.538    
      1020  -2815.9834     -2815.9834      0.36990076    -1050.4745      58630.312    
      1030  -2816.0159     -2816.0159      0.36736923    -1049.8357      58630.262    
      1040  -2816.0491     -2816.0491      0.3647691     -1049.7824      58630.306    
      1050  -2816.0826     -2816.0826      0.36212129    -1049.4241      58630.307    
      1060  -2816.1165     -2816.1165      0.35942017    -1049.0297      58630.305    
      1070  -2816.1509     -2816.1509      0.35665477    -1048.612       58630.304    
      1080  -2816.1859     -2816.1859      0.35380989    -1048.1566      58630.302    
      1090  -2816.222      -2816.222       0.35086338    -1047.5624      58630.284    
      1100  -2816.2588     -2816.2588      0.34781021    -1044.2234      58629.848    
      1110  -2816.2899     -2816.2899      0.34512127    -1021.7788      58626.464    
      1120  -2816.321      -2816.321       0.34249178    -1017.6863      58625.906    
      1130  -2816.3564     -2816.3564      0.33950038    -1017.3215      58625.935    
      1140  -2816.3928     -2816.3928      0.33640229    -1017.0976      58625.991    
      1150  -2816.4298     -2816.4298      0.33322191    -1016.4331      58625.984    
      1160  -2816.4674     -2816.4674      0.32996328    -1015.6989      58625.972    
      1170  -2816.5055     -2816.5055      0.32662302    -1014.7495      58625.933    
      1180  -2816.544      -2816.544       0.32321734    -1011.0052      58625.469    
      1190  -2816.5779     -2816.5779      0.32010297    -990.96224      58622.489    
      1200  -2816.6115     -2816.6115      0.31706986    -986.17905      58621.857    
      1210  -2816.6511     -2816.6511      0.31349277    -984.91621      58621.79     
      1220  -2816.6927     -2816.6927      0.30969261    -984.67913      58621.892    
      1230  -2816.7356     -2816.7356      0.30574039    -983.61522      58621.876    
      1240  -2816.7792     -2816.7792      0.30169122    -981.97211      58621.78     
      1250  -2816.8221     -2816.8221      0.29763455    -974.61955      58620.808    
      1260  -2816.8588     -2816.8588      0.29407188    -954.91429      58617.92     
      1270  -2816.8981     -2816.8981      0.29032101    -953.26475      58617.821    
      1280  -2816.9462     -2816.9462      0.28568167    -950.85977      58617.648    
      1290  -2816.9988     -2816.9988      0.28056362    -949.888        58617.722    
      1300  -2817.0534     -2817.0534      0.27518929    -947.90903      58617.66     
      1310  -2817.1064     -2817.1064      0.26988425    -938.51624      58616.46     
      1320  -2817.1453     -2817.1453      0.26588733    -916.9014       58613.323    
      1330  -2817.188      -2817.188       0.26156637    -913.09531      58612.946    
      1340  -2817.2489     -2817.2489      0.25534684    -910.68952      58612.884    
      1350  -2817.3212     -2817.3212      0.24784714    -907.24324      58612.741    
      1360  -2817.3965     -2817.3965      0.23980553    -882.90343      58609.429    
      1370  -2817.4737     -2817.4737      0.23152046    -872.90281      58608.353    
