LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (26.120978 8.787871 61.242016)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  552 atoms
  reading velocities ...
  552 velocities
  read_data CPU = 0.041 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 7 3 16
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 11.05 | 11.05 | 11.05 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
       770  -707.80594     -707.80594      0.32634328    -2028.6332      13662.474    
       780  -707.81416     -707.81416      0.32349602    -2026.7421      13662.551    
       790  -707.82231     -707.82231      0.32063251    -2024.8579      13662.629    
       800  -707.8304      -707.8304       0.31775216    -2022.9809      13662.708    
       810  -707.83844     -707.83844      0.31485405    -2021.1088      13662.789    
       820  -707.84642     -707.84642      0.31193751    -2019.2408      13662.87     
       830  -707.85434     -707.85434      0.30900162    -2017.376       13662.953    
       840  -707.86222     -707.86222      0.30604564    -2015.5133      13663.038    
       850  -707.87005     -707.87005      0.3030688     -2013.6516      13663.123    
       860  -707.87784     -707.87784      0.30007005    -2011.7899      13663.21     
       870  -707.88559     -707.88559      0.29704842    -2009.9272      13663.299    
       880  -707.89329     -707.89329      0.29400287    -2008.0625      13663.389    
       890  -707.90096     -707.90096      0.29093222    -2006.1943      13663.48     
       900  -707.90859     -707.90859      0.28783533    -2004.3212      13663.573    
       910  -707.91619     -707.91619      0.28471105    -2002.4417      13663.667    
       920  -707.92376     -707.92376      0.28155788    -2000.5539      13663.763    
       930  -707.93131     -707.93131      0.27837423    -1998.6561      13663.861    
       940  -707.93883     -707.93883      0.27515854    -1996.7465      13663.96     
       950  -707.94633     -707.94633      0.27190903    -1994.8233      13664.061    
       960  -707.95382     -707.95382      0.26862381    -1992.8844      13664.164    
       970  -707.96129     -707.96129      0.26530085    -1990.9279      13664.268    
       980  -707.96876     -707.96876      0.26193772    -1988.9511      13664.375    
       990  -707.97622     -707.97622      0.25853179    -1986.9513      13664.484    
      1000  -707.98369     -707.98369      0.25508074    -1984.9247      13664.594    
      1010  -707.99115     -707.99115      0.25158335    -1982.8639      13664.707    
      1020  -707.99863     -707.99863      0.24803786    -1980.7573      13664.822    
      1030  -708.00613     -708.00613      0.2444425     -1978.5963      13664.939    
      1040  -708.01365     -708.01365      0.24079479    -1976.3728      13665.058    
      1050  -708.02121     -708.02121      0.23709178    -1974.0796      13665.18     
      1060  -708.0288      -708.0288       0.23332964    -1971.7097      13665.304    
      1070  -708.03645     -708.03645      0.22950373    -1969.2557      13665.431    
      1080  -708.04416     -708.04416      0.22560857    -1966.7097      13665.561    
      1090  -708.05194     -708.05194      0.22163707    -1964.0624      13665.695    
      1100  -708.05983     -708.05983      0.2175808     -1961.3035      13665.833    
      1110  -708.06782     -708.06782      0.21342913    -1958.4209      13665.976    
      1120  -708.07595     -708.07595      0.20916914    -1955.4003      13666.125    
      1130  -708.08425     -708.08425      0.2047848     -1952.2241      13666.28     
      1140  -708.09275     -708.09275      0.20025568    -1948.8698      13666.444    
      1150  -708.10149     -708.10149      0.19555623    -1945.3106      13666.616    
      1160  -708.11052     -708.11052      0.1906533     -1941.5125      13666.8      
      1170  -708.11992     -708.11992      0.18550337    -1937.4308      13666.998    
      1180  -708.12977     -708.12977      0.18004866    -1933.0067      13667.213    
